paper,propensity_score
AMRL: Aggregated Memory For Reinforcement Learning,0.30763487952636087
Memory-Based Graph Networks,0.4048101709039198
One-Shot Pruning of Recurrent Neural Networks by Jacobian Spectrum Evaluation,0.38305122024439464
Network Randomization: A Simple Technique for Generalization in Deep Reinforcement Learning,0.4269688560261496
On Mutual Information Maximization for Representation Learning,0.4205424965882558
Hypermodels for Exploration,0.3633894514980807
On the Equivalence between Positional Node Embeddings and Structural Graph Representations,0.3088222014826262
GraphSAINT: Graph Sampling Based Inductive Learning Method,0.28629413591661856
Polylogarithmic width suffices for gradient descent to achieve arbitrarily small test error with shallow ReLU networks,0.44189990963446113
Cross-Lingual Ability of Multilingual BERT: An Empirical Study,0.2674900415569693
Model Based Reinforcement Learning for Atari,0.32411363517434966
InfoGraph: Unsupervised and Semi-supervised Graph-Level Representation Learning via Mutual Information Maximization,0.36467457405115844
Black-Box Adversarial Attack with Transferable Model-based Embedding,0.28076646654957005
Inductive Matrix Completion Based on Graph Neural Networks,0.34733103027276335
Probability Calibration for Knowledge Graph Embedding Models,0.2823994067796433
Intensity-Free Learning of Temporal Point Processes,0.3920169267508079
Certified Robustness for Top-k Predictions against Adversarial Perturbations via Randomized Smoothing,0.34663108709924795
Simple and Effective Regularization Methods for Training on Noisily Labeled Data with Generalization Guarantee,0.26959771683196465
"Understanding l4-based Dictionary Learning: Interpretation, Stability, and Robustness",0.44308030438708296
RGBD-GAN: Unsupervised 3D Representation Learning From Natural Image Datasets via RGBD Image Synthesis,0.28139474268364567
Estimating counterfactual treatment outcomes over time through adversarially balanced representations,0.3511607360155032
Exploring Model-based Planning with Policy Networks,0.5641576293514327
LambdaNet: Probabilistic Type Inference using Graph Neural Networks,0.4015248400232816
Precision Gating: Improving Neural Network Efficiency with Dynamic Dual-Precision Activations,0.34548319285450074
Variational Template Machine for Data-to-Text Generation,0.29252762819296935
On Universal Equivariant Set Networks,0.38689334809446246
The Gambler's Problem and Beyond,0.3340080227725591
Learning to Represent Programs with Property Signatures,0.2097907485009391
Smooth markets: A basic mechanism for organizing gradient-based learners,0.5149404537220492
Demystifying Inter-Class Disentanglement,0.32877068859708886
Meta-Learning Deep Energy-Based Memory Models,0.47724571516247905
Self-Supervised Learning of Appliance Usage,0.3936908705953972
Higher-Order Function Networks for Learning Composable 3D Object Representations,0.347252007352057
Learning to solve the credit assignment problem,0.36362960004437345
Prediction Poisoning: Towards Defenses Against DNN Model Stealing Attacks,0.3582825672039213
Difference-Seeking Generative Adversarial Network--Unseen Sample Generation,0.2990434692918259
Reducing Transformer Depth on Demand with Structured Dropout,0.4645948611985168
Actor-Critic Provably Finds Nash Equilibria of Linear-Quadratic Mean-Field Games,0.3559289154379255
Quantifying the Cost of Reliable Photo Authentication via High-Performance Learned Lossy Representations,0.3654308558634603
Multi-agent Reinforcement Learning for Networked System Control,0.23193064614511055
Learning Space Partitions for Nearest Neighbor Search,0.25295888993884297
On Computation and Generalization of Generative Adversarial Imitation Learning,0.34617530831452675
Evaluating The Search Phase of Neural Architecture Search,0.35708326155283476
Critical initialisation in continuous approximations of binary neural networks,0.26263575923409155
Evolutionary Population Curriculum for Scaling Multi-Agent Reinforcement Learning,0.3398973410125561
Probabilistic Connection Importance Inference and Lossless Compression of Deep Neural Networks,0.4031455964443684
Picking Winning Tickets Before Training by Preserving Gradient Flow,0.4244831994559806
CAQL: Continuous Action Q-Learning,0.382896872380435
Stable Rank Normalization for Improved Generalization in Neural Networks and GANs,0.33571395601239723
Dynamic Model Pruning with Feedback,0.36856043699525076
Emergent Tool Use From Multi-Agent Autocurricula,0.3790017543119006
Conditional Learning of Fair Representations,0.39438699573650265
You CAN Teach an Old Dog New Tricks! On Training Knowledge Graph Embeddings,0.3971391194573532
Disagreement-Regularized Imitation Learning,0.4779776824686306
Physics-as-Inverse-Graphics: Unsupervised Physical Parameter Estimation from Video,0.31989244429845476
Model-Augmented Actor-Critic: Backpropagating through Paths,0.3992501333780598
Disentanglement by Nonlinear ICA with General Incompressible-flow Networks (GIN),0.38278331487075884
Generative Ratio Matching Networks,0.26382233838876556
CM3: Cooperative Multi-goal Multi-stage Multi-agent Reinforcement Learning,0.3672280847044757
Order Learning and Its Application to Age Estimation,0.30236696749686987
Learning to Link,0.3752314791298017
DiffTaichi: Differentiable Programming for Physical Simulation,0.35577132640901077
Adaptive Structural Fingerprints for Graph Attention Networks,0.2546484443640143
Kernelized Wasserstein Natural Gradient,0.36793512175267273
DeepV2D: Video to Depth with Differentiable Structure from Motion,0.4716839618829073
Measuring the Reliability of Reinforcement Learning Algorithms,0.5226914541743178
SELF: Learning to Filter Noisy Labels with Self-Ensembling,0.42421604713486405
Incorporating BERT into Neural Machine Translation,0.36727011898606116
Transferring Optimality Across Data Distributions via Homotopy Methods,0.37489096170294905
Quantum Algorithms for Deep Convolutional Neural Networks,0.3712761270571886
Unrestricted Adversarial Examples via Semantic Manipulation,0.38613571963066534
A Stochastic Derivative Free Optimization Method with Momentum,0.3684478302338432
Learning The Difference That Makes A Difference With Counterfactually-Augmented Data,0.3770777775691526
Fast is better than free: Revisiting adversarial training,0.43171777632408115
Disentangling neural mechanisms for perceptual grouping,0.4581753207749002
How to 0wn the NAS in Your Spare Time,0.29692391795073186
Option Discovery using Deep Skill Chaining,0.34255091589636
Massively Multilingual Sparse Word Representations,0.3561095617355906
RaPP: Novelty Detection with Reconstruction along Projection Pathway,0.24000090348744368
Domain Adaptive Multibranch Networks,0.37368100685825356
Continual learning with hypernetworks,0.40498689849596203
Distributed Bandit Learning: Near-Optimal Regret with Efficient Communication,0.39412214864257705
SVQN: Sequential Variational Soft Q-Learning Networks,0.30129787432021443
PROGRESSIVE LEARNING AND DISENTANGLEMENT OF HIERARCHICAL REPRESENTATIONS,0.2758088498978892
Learning transport cost from subset correspondence,0.3242662355538478
Meta Dropout: Learning to Perturb Latent Features for Generalization,0.3174340719152728
On Robustness of Neural Ordinary Differential Equations,0.3852837518579242
Towards neural networks that provably know when they don't know,0.31054100491453535
Exploration in Reinforcement Learning with Deep Covering Options,0.3410210497102843
Mixed Precision DNNs: All you need is a good parametrization,0.27780332938448754
Depth-Width Trade-offs for ReLU Networks via Sharkovsky's Theorem,0.4057135231212885
Learning to Move with Affordance Maps,0.4564478438594075
Sign Bits Are All You Need for Black-Box Attacks,0.3626165614037249
Biologically inspired sleep algorithm for increased generalization and adversarial robustness in deep neural networks,0.38519894394147197
SNODE: Spectral Discretization of Neural ODEs for System Identification,0.42354646095969045
Query2box: Reasoning over Knowledge Graphs in Vector Space Using Box Embeddings,0.4758286728138746
Theory and Evaluation Metrics for Learning Disentangled Representations,0.32682256933653214
Learning to Plan in High Dimensions via Neural Exploration-Exploitation Trees,0.41278997643971715
And the Bit Goes Down: Revisiting the Quantization of Neural Networks,0.4522646186250911
Continual Learning with Adaptive Weights (CLAW),0.28670606629959
Depth-Adaptive Transformer,0.37225160307230576
Robust Local Features for Improving the Generalization of Adversarial Training,0.40498304958118875
Learning deep graph matching with channel-independent embedding and Hungarian attention,0.2903547191293311
Large Batch Optimization for Deep Learning: Training BERT in 76 minutes,0.3922275344135784
Reanalysis of Variance Reduced Temporal Difference Learning,0.3571276984342905
Unsupervised Model Selection for Variational Disentangled Representation Learning,0.405652698617016
On the Weaknesses of Reinforcement Learning for Neural Machine Translation,0.31355456429781114
Training binary neural networks with real-to-binary convolutions,0.38005820753799147
Mixed-curvature Variational Autoencoders,0.38280860639892156
Program Guided Agent,0.4496239385905105
Revisiting Self-Training for Neural Sequence Generation,0.2934471640165725
"Ridge Regression: Structure, Cross-Validation, and Sketching",0.36723650119421314
Deep Network Classification by Scattering and Homotopy Dictionary Learning,0.42727305268853416
FreeLB: Enhanced Adversarial Training for Natural Language Understanding,0.361709662534778
Reinforcement Learning with Competitive  Ensembles of Information-Constrained Primitives,0.5006119740844346
Adversarially Robust Representations with Smooth Encoders,0.38574661249987136
Scalable Neural Methods for Reasoning With a Symbolic Knowledge   Base,0.3174253183112125
Curriculum Loss: Robust Learning and Generalization  against Label Corruption,0.37677094415021484
Low-dimensional statistical manifold embedding of directed graphs,0.3007829180023147
VideoFlow: A Conditional Flow-Based Model for Stochastic Video Generation,0.3346081314333231
Self-Adversarial Learning with Comparative Discrimination for Text Generation,0.3063081406285656
On the Global Convergence  of Training Deep Linear ResNets,0.34430421656325494
Measuring and Improving the Use of Graph Information in Graph Neural Networks,0.3055936482437495
AssembleNet: Searching for Multi-Stream Neural Connectivity in Video Architectures,0.4239273949911047
Identity Crisis: Memorization and Generalization Under Extreme Overparameterization,0.43125837660466365
Spike-based causal inference for weight alignment,0.3866387941592226
VariBAD: A Very Good Method for Bayes-Adaptive Deep RL via Meta-Learning,0.34236833309009884
Expected Information Maximization: Using the I-Projection for Mixture Density Estimation,0.3421959589175024
Kernel of CycleGAN as a principal homogeneous space,0.2623568313134433
"Generative Models for Effective ML on Private, Decentralized Datasets",0.24333104766567026
Gradient-Based Neural DAG Learning,0.304251639795427
DeepSphere: a graph-based spherical CNN,0.37083364866174834
IMPACT: Importance Weighted Asynchronous Architectures with Clipped Target Networks,0.39742762743604537
Improving Neural Language Generation with Spectrum Control,0.3063230870347806
Harnessing the Power of Infinitely Wide Deep Nets on Small-data Tasks,0.3667557714711201
NAS evaluation is frustratingly hard,0.336024905311927
Budgeted Training: Rethinking Deep Neural Network Training Under Resource Constraints,0.4564478438594075
Training individually fair ML models with sensitive subspace robustness,0.3855074699963558
Deformable Kernels: Adapting Effective Receptive Fields for Object Deformation,0.44303344927620014
From Variational to Deterministic Autoencoders,0.44192769577223967
GraphAF: a Flow-based Autoregressive Model for Molecular Graph Generation,0.2744223451777942
A Theoretical Analysis of the Number of Shots in Few-Shot Learning,0.4272102100870999
Deep Learning of Determinantal Point Processes via Proper Spectral Sub-gradient,0.3156867738966487
Augmenting Genetic Algorithms with Deep Neural Networks for Exploring the Chemical Space,0.35510053655319945
Denoising and Regularization via Exploiting the Structural Bias of Convolutional Generators,0.4135801225075245
SNOW: Subscribing to Knowledge via Channel Pooling for Transfer & Lifelong Learning of Convolutional Neural Networks,0.34468043868794807
A Meta-Transfer Objective for Learning to Disentangle Causal Mechanisms,0.41521240999229886
Classification-Based Anomaly Detection for General Data,0.3837273958204701
B-Spline CNNs on Lie groups,0.3181675472574341
Global Relational Models of Source Code,0.2769455998334782
NeurQuRI: Neural Question Requirement Inspector for Answerability Prediction in Machine Reading Comprehension,0.3669751957216663
Adjustable Real-time Style Transfer,0.38475846846874406
Ranking Policy Gradient,0.2973190906945786
Neural Epitome Search for Architecture-Agnostic Network Compression,0.3170911071266072
Learning to Guide Random Search,0.43707911092658003
BERTScore: Evaluating Text Generation with BERT,0.37202704179887397
Reinforced Genetic Algorithm Learning for Optimizing Computation Graphs,0.4693152746832436
Meta-Learning Acquisition Functions for Transfer Learning in Bayesian Optimization,0.38647372363927696
Adaptive Correlated Monte Carlo for Contextual Categorical Sequence Generation,0.3609435792680066
Fooling Detection Alone is Not Enough: Adversarial Attack against Multiple Object Tracking,0.36513120245213343
Pre-training Tasks for Embedding-based Large-scale Retrieval,0.23804213129298998
MACER: Attack-free and Scalable Robust Training via Maximizing Certified Radius,0.4169535292158548
Rényi Fair Inference,0.41100761450190054
An Exponential Learning Rate Schedule for Deep Learning,0.3988076006953965
Graph Convolutional Reinforcement Learning,0.30401025235293655
In Search for a SAT-friendly Binarized Neural Network Architecture,0.35144176853924536
A Constructive Prediction of the Generalization Error Across Scales,0.3381785724428272
Improving Generalization in Meta Reinforcement Learning using Learned Objectives,0.4192285536568881
Exploratory Not Explanatory: Counterfactual Analysis of Saliency Maps for Deep Reinforcement Learning,0.1890114334394209
Scalable Model Compression by Entropy Penalized Reparameterization,0.42279077590046465
Ensemble Distribution Distillation,0.3850505002812712
ES-MAML: Simple Hessian-Free Meta Learning,0.2631384365282712
SAdam: A Variant of Adam for Strongly Convex Functions,0.2970625377846245
Continual Learning with Bayesian Neural Networks for Non-Stationary Data,0.3365212960322052
Automated curriculum generation through setter-solver interactions,0.48111903749665075
NAS-Bench-201: Extending the Scope of Reproducible Neural Architecture Search,0.3870426362737333
Dynamic Time Lag Regression: Predicting What & When,0.3053883791135293
Double Neural Counterfactual Regret Minimization,0.399957650067715
Robust anomaly detection and backdoor attack detection via differential privacy,0.39330452896678875
Optimistic Exploration even with a Pessimistic Initialisation,0.35412438255956
Training Generative Adversarial Networks from Incomplete Observations using Factorised Discriminators,0.35765881278822653
Deep Symbolic Superoptimization Without Human Knowledge,0.31147652320830765
Neural Execution of Graph Algorithms,0.4162507690588951
Encoding word order in complex embeddings,0.34533849993776383
Deep Double Descent: Where Bigger Models and More Data Hurt,0.5875620272090678
The Early Phase of Neural Network Training,0.35103365709086043
"Don't Use Large Mini-batches, Use Local SGD",0.3649559283028956
A Closer Look at the Optimization Landscapes of Generative Adversarial Networks,0.38416081133363744
Learning to Control PDEs with Differentiable Physics,0.4444735367207764
Rethinking the Hyperparameters for Fine-tuning,0.3658729448768545
PAC Confidence Sets for Deep Neural Networks via Calibrated Prediction,0.3389598948626455
Deep Semi-Supervised Anomaly Detection,0.3430834338680404
AtomNAS: Fine-Grained End-to-End Neural Architecture Search,0.38106496119654826
"Triple Wins: Boosting Accuracy, Robustness and Efficiency Together by Enabling Input-Adaptive Inference",0.3486852477548827
CLEVRER: Collision Events for Video Representation and Reasoning,0.41693004915116516
Computation Reallocation for Object Detection,0.3913680048593196
Making Efficient Use of Demonstrations to Solve Hard Exploration Problems,0.321047293255048
Robust And Interpretable Blind Image Denoising Via Bias-Free Convolutional Neural Networks,0.37216827867133173
Permutation Equivariant Models for Compositional Generalization in Language,0.3447401663881613
Automated Relational Meta-learning,0.37320948832094303
A Probabilistic Formulation of Unsupervised Text Style Transfer,0.4067340097840329
Discrepancy Ratio: Evaluating Model Performance When Even Experts Disagree on the Truth,0.4842923918100137
Combining Q-Learning and Search with Amortized Value Estimates,0.38420868873487507
Generalized Convolutional Forest Networks for Domain Generalization and Visual Recognition,0.38624370518649653
Graph Constrained Reinforcement Learning for Natural Language Action Spaces,0.4038930773647087
Improved memory in recurrent neural networks with sequential non-normal dynamics,0.341280239452522
A Learning-based Iterative Method for Solving Vehicle Routing Problems,0.3319716538016628
Emergence of functional and structural properties of the head direction system by optimization of recurrent neural networks,0.3863579790340161
Adversarially robust transfer learning,0.3826424782817025
Learning from Explanations with Neural Execution Tree,0.3329849871221419
Universal Approximation with Certified Networks,0.3455734931523631
Extreme Classification via Adversarial Softmax Approximation,0.3260825727921009
Synthesizing Programmatic Policies that Inductively Generalize,0.3910176237589469
Image-guided Neural Object Rendering,0.4280531767197613
Is a Good Representation Sufficient for Sample Efficient Reinforcement Learning?,0.3598979678253103
Interpretable Complex-Valued Neural Networks for Privacy Protection,0.3287830128593711
The Shape of Data: Intrinsic Distance for Data Distributions,0.3428349738663371
Dynamics-Aware Embeddings,0.41850026066414475
Extreme Tensoring for Low-Memory Preconditioning ,0.29531690852165826
Sequential Latent Knowledge Selection for Knowledge-Grounded Dialogue,0.3182812327731561
Geom-GCN: Geometric Graph Convolutional Networks,0.2691531627681655
Compositional languages emerge in a neural iterated learning model,0.3394467930526848
Knowledge Consistency between Neural Networks and Beyond,0.35578685428085666
Differentially Private Meta-Learning,0.41211967186599746
Stochastic Conditional Generative Networks with Basis Decomposition,0.2550008311801342
Neural Text Generation With Unlikelihood Training,0.4048286575308958
Duration-of-Stay Storage Assignment under Uncertainty,0.2774158665346228
Non-Autoregressive Dialog State Tracking,0.2945479860035269
Scalable and Order-robust Continual Learning with Additive Parameter Decomposition,0.2920216395402951
Automatically Discovering and Learning New Visual Categories with Ranking Statistics,0.40324963040820544
On Identifiability in Transformers,0.394188972547018
Robust Reinforcement Learning for Continuous Control with Model Misspecification,0.4618938509322515
Enhancing Adversarial Defense by k-Winners-Take-All,0.36043217679433737
Are Pre-trained Language Models Aware of Phrases? Simple but Strong Baselines for Grammar Induction,0.2960684483292526
Neural Policy Gradient Methods: Global Optimality and Rates of Convergence,0.3158147212035332
Enhancing Transformation-Based Defenses Against Adversarial Attacks with a Distribution Classifier,0.3204642675394796
Sample Efficient Policy Gradient Methods with Recursive Variance Reduction,0.3734664152939119
ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,0.43954376276625295
State-only Imitation with Transition Dynamics Mismatch,0.23234802074776817
Gradientless Descent: High-Dimensional Zeroth-Order Optimization,0.2764793038041177
Black-box Off-policy Estimation for Infinite-Horizon Reinforcement Learning,0.41927499351462105
Hyper-SAGNN: a self-attention based graph neural network for hypergraphs,0.3614638958066991
Unpaired Point Cloud Completion on Real Scans using Adversarial Training,0.37774051029996986
The intriguing role of module criticality in the generalization of deep networks,0.3685825450679315
SpikeGrad: An ANN-equivalent Computation Model for Implementing Backpropagation with Spikes,0.2772309768494394
Physics-aware Difference Graph Networks for Sparsely-Observed Dynamics,0.33229555009384004
DivideMix: Learning with Noisy Labels as Semi-supervised Learning,0.3604514655469831
Reinforcement Learning Based Graph-to-Sequence Model for Natural Question Generation,0.4114917291010415
Bayesian Meta Sampling for Fast Uncertainty Adaptation,0.2528889236616602
BREAKING  CERTIFIED  DEFENSES:  SEMANTIC  ADVERSARIAL  EXAMPLES  WITH  SPOOFED  ROBUSTNESS  CERTIFICATES,0.29902394712431024
Progressive Memory Banks for Incremental Domain Adaptation,0.35746420332322837
Deep Learning For Symbolic Mathematics,0.36518836810790456
Decentralized Deep Learning with Arbitrary Communication Compression,0.3243366840095463
Masked Based Unsupervised Content Transfer,0.31331015294778686
Fair Resource Allocation in Federated Learning,0.2639379051865708
Gap-Aware Mitigation of Gradient Staleness,0.25719895244269586
Graph Neural Networks Exponentially Lose Expressive Power for Node Classification,0.37672818651888157
A FRAMEWORK  FOR ROBUSTNESS CERTIFICATION  OF SMOOTHED CLASSIFIERS USING  F-DIVERGENCES,0.4037875428451002
I Am Going MAD: Maximum Discrepancy Competition for Comparing Classifiers Adaptively,0.315263779269779
Analysis of Video Feature Learning in Two-Stream CNNs on the Example of Zebrafish Swim Bout Classification,0.28979116122317156
"On the steerability"" of generative adversarial networks""",0.5393921381445895
